publisher,metric,count
Wiley,FsF-F3-01M,1010
Wiley,FsF-F4-01M,316
Wiley,FsF-A1-01M,1010
Wiley,FsF-A1-03D,1010
Wiley,FsF-R1-01MD,316
Wiley,FsF-R1.1-01M,1010
Wiley,FsF-R1.3-02D,1010
BMJ Publishing Group Ltd,FsF-F3-01M,48
BMJ Publishing Group Ltd,FsF-A1-03D,48
BMJ Publishing Group Ltd,FsF-R1.1-01M,48
BMJ Publishing Group Ltd,FsF-R1.3-02D,48
BMJ Publishing Group Ltd,FsF-I3-01M,6
"Journal of Neurology, Neurosurgery & Psychiatry",FsF-F3-01M,11
"Journal of Neurology, Neurosurgery & Psychiatry",FsF-A1-03D,11
"Journal of Neurology, Neurosurgery & Psychiatry",FsF-R1.1-01M,11
"Journal of Neurology, Neurosurgery & Psychiatry",FsF-R1.3-02D,11
"Journal of Neurology, Neurosurgery & Psychiatry",FsF-I3-01M,3
AIP Publishing,FsF-F3-01M,208
AIP Publishing,FsF-A1-01M,208
AIP Publishing,FsF-A1-03D,208
AIP Publishing,FsF-R1.1-01M,208
AIP Publishing,FsF-R1.3-02D,208
AIP Publishing,FsF-F4-01M,2
AIP Publishing,FsF-R1-01MD,2
American Physical Society (APS),FsF-F3-01M,173
American Physical Society (APS),FsF-F4-01M,91
American Physical Society (APS),FsF-A1-01M,173
American Physical Society (APS),FsF-A1-03D,173
American Physical Society (APS),FsF-R1-01MD,91
American Physical Society (APS),FsF-R1.1-01M,173
American Physical Society (APS),FsF-R1.3-02D,173
Elsevier BV,FsF-F3-01M,2558
Elsevier BV,FsF-F4-01M,2556
Elsevier BV,FsF-A1-01M,2558
Elsevier BV,FsF-A1-03D,2558
Elsevier BV,FsF-R1-01MD,2558
Elsevier BV,FsF-R1.1-01M,2558
Elsevier BV,FsF-R1.3-02D,2558
Nature Publishing Group UK,FsF-F3-01M,478
Nature Publishing Group UK,FsF-A1-03D,478
Nature Publishing Group UK,FsF-R1.1-01M,325
Nature Publishing Group UK,FsF-R1.3-02D,478
Nature Publishing Group,FsF-F3-01M,1314
Nature Publishing Group,FsF-A1-03D,1314
Nature Publishing Group,FsF-R1.1-01M,990
Nature Publishing Group,FsF-R1.3-02D,1314
Springer Nature,FsF-F3-01M,656
Springer Nature,FsF-A1-03D,656
Springer Nature,FsF-R1.1-01M,494
Springer Nature,FsF-R1.3-02D,656
Nature,FsF-F3-01M,657
Nature,FsF-A1-03D,657
Nature,FsF-R1.1-01M,495
Nature,FsF-R1.3-02D,657
Springer Science and Business Media LLC,FsF-F3-01M,1564
Springer Science and Business Media LLC,FsF-A1-03D,1564
Springer Science and Business Media LLC,FsF-R1.1-01M,1140
Springer Science and Business Media LLC,FsF-R1.3-02D,1564
Springer Science and Business Media LLC,FsF-F4-01M,18
Springer Science and Business Media LLC,FsF-A1-01M,18
Springer Science and Business Media LLC,FsF-R1-01MD,18
"ACMPUB27New York, NY, USA",FsF-F3-01M,9
"ACMPUB27New York, NY, USA",FsF-A1-01M,9
"ACMPUB27New York, NY, USA",FsF-A1-03D,9
"ACMPUB27New York, NY, USA",FsF-R1.1-01M,9
"ACMPUB27New York, NY, USA",FsF-R1.3-02D,9
ACM Transactions on Algorithms,FsF-F3-01M,1
ACM Transactions on Algorithms,FsF-A1-01M,1
ACM Transactions on Algorithms,FsF-A1-03D,1
ACM Transactions on Algorithms,FsF-R1.1-01M,1
ACM Transactions on Algorithms,FsF-R1.3-02D,1
Association for Computing Machinery (ACM),FsF-F3-01M,15
Association for Computing Machinery (ACM),FsF-A1-01M,15
Association for Computing Machinery (ACM),FsF-A1-03D,15
Association for Computing Machinery (ACM),FsF-R1.1-01M,15
Association for Computing Machinery (ACM),FsF-R1.3-02D,15
Association for Computing Machinery (ACM),FsF-F4-01M,3
Association for Computing Machinery (ACM),FsF-R1-01MD,3
