publisher,metric,count
Springer Science and Business Media LLC,FsF-F3-01M,1809
Springer Science and Business Media LLC,FsF-F4-01M,61
Springer Science and Business Media LLC,FsF-A1-01M,61
Springer Science and Business Media LLC,FsF-A1-03D,1809
Springer Science and Business Media LLC,FsF-R1-01MD,61
Springer Science and Business Media LLC,FsF-R1.1-01M,1180
Springer Science and Business Media LLC,FsF-R1.3-02D,1809
Nature Publishing Group UK,FsF-F3-01M,815
Nature Publishing Group UK,FsF-A1-03D,815
Nature Publishing Group UK,FsF-R1.1-01M,561
Nature Publishing Group UK,FsF-R1.3-02D,815
Nature Publishing Group,FsF-F3-01M,2265
Nature Publishing Group,FsF-A1-03D,2265
Nature Publishing Group,FsF-R1.1-01M,1707
Nature Publishing Group,FsF-R1.3-02D,2265
Springer Nature,FsF-F3-01M,1133
Springer Nature,FsF-A1-03D,1133
Springer Nature,FsF-R1.1-01M,854
Springer Nature,FsF-R1.3-02D,1133
Nature,FsF-F3-01M,1133
Nature,FsF-A1-03D,1133
Nature,FsF-R1.1-01M,854
Nature,FsF-R1.3-02D,1133
Wiley,FsF-F3-01M,445
Wiley,FsF-F4-01M,413
Wiley,FsF-A1-01M,445
Wiley,FsF-A1-03D,445
Wiley,FsF-R1-01MD,413
Wiley,FsF-R1.1-01M,445
Wiley,FsF-R1.3-02D,445
American Roentgen Ray Society,FsF-F3-01M,3
American Roentgen Ray Society,FsF-F4-01M,3
American Roentgen Ray Society,FsF-A1-01M,3
American Roentgen Ray Society,FsF-A1-03D,3
American Roentgen Ray Society,FsF-R1-01MD,3
American Roentgen Ray Society,FsF-R1.1-01M,3
American Roentgen Ray Society,FsF-R1.3-02D,3
Oxford University Press,FsF-F3-01M,409
Oxford University Press,FsF-A1-01M,409
Oxford University Press,FsF-A1-03D,409
Oxford University Press,FsF-R1.1-01M,409
Oxford University Press,FsF-R1.3-02D,409
Oxford Academic,FsF-F3-01M,409
Oxford Academic,FsF-A1-01M,409
Oxford Academic,FsF-A1-03D,409
Oxford Academic,FsF-R1.1-01M,409
Oxford Academic,FsF-R1.3-02D,409
OUP Academic,FsF-F3-01M,409
OUP Academic,FsF-A1-01M,409
OUP Academic,FsF-A1-03D,409
OUP Academic,FsF-R1.1-01M,409
OUP Academic,FsF-R1.3-02D,409
Springer Berlin Heidelberg,FsF-F3-01M,373
Springer Berlin Heidelberg,FsF-A1-03D,373
Springer Berlin Heidelberg,FsF-R1.1-01M,320
Springer Berlin Heidelberg,FsF-R1.3-02D,373
Springer Berlin Heidelberg,FsF-A1-01M,59
Springer Berlin Heidelberg,FsF-I3-01M,4
Springer,FsF-F3-01M,527
Springer,FsF-A1-03D,527
Springer,FsF-R1.1-01M,472
Springer,FsF-R1.3-02D,527
SpringerLink,FsF-F3-01M,599
SpringerLink,FsF-A1-03D,599
SpringerLink,FsF-R1.1-01M,544
SpringerLink,FsF-R1.3-02D,599
SpringerLink,FsF-A1-01M,61
SpringerLink,FsF-I3-01M,6
Springer Netherlands,FsF-F3-01M,66
Springer Netherlands,FsF-A1-03D,66
Springer Netherlands,FsF-R1.1-01M,52
Springer Netherlands,FsF-R1.3-02D,66
Society of Nuclear Medicine,FsF-F3-01M,8
Society of Nuclear Medicine,FsF-F4-01M,2
Society of Nuclear Medicine,FsF-A1-01M,8
Society of Nuclear Medicine,FsF-A1-03D,8
Society of Nuclear Medicine,FsF-R1-01MD,8
Society of Nuclear Medicine,FsF-R1.1-01M,8
Society of Nuclear Medicine,FsF-R1.3-02D,8
BioMed Central,FsF-F3-01M,863
BioMed Central,FsF-A1-03D,863
BioMed Central,FsF-R1.3-02D,863
BioMed Central,FsF-R1.1-01M,27
Nature Publishing Group US,FsF-F3-01M,306
Nature Publishing Group US,FsF-A1-03D,306
Nature Publishing Group US,FsF-R1.1-01M,281
Nature Publishing Group US,FsF-R1.3-02D,306
Elsevier BV,FsF-F3-01M,2731
Elsevier BV,FsF-F4-01M,2731
Elsevier BV,FsF-A1-01M,2731
