metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,9962
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,9962
FsF-R1.1-01M,WARNING: License information unavailable in metadata,9181
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,9181
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,9181
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,9962
FsF-A1-01M,WARNING: NO access information is available in metadata,7515
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,15030
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,7515
FsF-A1-01M,WARNING: Unable to determine the access level,7515
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,5947
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,5947
FsF-F4-01M,WARNING: Metadata is NOT found through -:,5947
FsF-F4-01M,INFO: Querying DataCite API for -:,5915
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,5915
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",5947
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',2647
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,8196
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,5549
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,5947
FsF-R1-01MD,WARNING: No resource type given,2855
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,2855
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,6011
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',3300
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,3299
FsF-R1-01MD,INFO: Invalid resource type  specified -:,3157
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",3157
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,3164
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,3164
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,3164
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,3164
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,3164
FsF-A1-01M,INFO: Found CreativeCommons license -:,74
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",74
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",74
FsF-F4-01M,ERROR: Mendeley Data API not available or returns errors: HTTPSConnectionPool: Read timed out.,398
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,66
FsF-I1-01M,INFO: NO structured data  embedded in the data page,63
FsF-I1-01M,INFO: Check if RDF-based typed link included,66
FsF-I1-01M,INFO: NO RDF-based typed link found,66
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,66
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,66
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,66
FsF-I2-01M,WARNING: NO namespaces of semantic vocabularies found in the metadata,64
FsF-I2-01M,INFO: Skipping namespace lookup in LOD registry list since no namespaces available,64
FsF-I2-01M,WARNING: NO known vocabulary namespace URI is found which is listed in  the LOD registry,64
FsF-R1.3-01M,INFO: re3data/datacite client id -: None,62
FsF-R1.3-01M,WARNING: Skipped external ressources  checks since landing page could not be resolved,62
FsF-R1.3-01M,WARNING: Unable to determine community standard,62
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,93
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,3
FsF-I1-01M,SUCCESS: Found structured data  in the data page,3
FsF-I2-01M,INFO: Removing default namespaces from 2 vocabulary namespaces found in structured metadata,2
FsF-I2-01M,INFO: Default vocabulary namespace excluded -: [' ',2
FsF-F4-01M,ERROR: DataCite API not available or returns errors -:HTTPSConnectionPool: Read timed out.,32
FsF-R1-01MD,INFO: Successfully parsed data object file using TIKA,1
FsF-R1-01MD,INFO: File request status code -: 200,1
FsF-R1-01MD,INFO: Succesfully parsed data file -:,1
FsF-R1-01MD,INFO: NO info about file size available in given metadata for -:,1
FsF-R1-01MD,INFO: NO info about data service endpoint available in given metadata for -:,1
FsF-R1-01MD,INFO: Sucessfully verified content type from downloaded file -:,1
FsF-R1-01MD,"WARNING: NO measured variables found in metadata, skip 'measured_variable' test.",1
