publisher,metric,count
Nature Publishing Group US,FsF-F3-01M,521
Nature Publishing Group US,FsF-A1-03D,521
Nature Publishing Group US,FsF-R1.1-01M,461
Nature Publishing Group US,FsF-R1.3-02D,521
Nature Publishing Group,FsF-F3-01M,2907
Nature Publishing Group,FsF-A1-03D,2907
Nature Publishing Group,FsF-R1.1-01M,2073
Nature Publishing Group,FsF-R1.3-02D,2907
Springer Nature,FsF-F3-01M,1454
Springer Nature,FsF-A1-03D,1454
Springer Nature,FsF-R1.1-01M,1037
Springer Nature,FsF-R1.3-02D,1454
Nature,FsF-F3-01M,1449
Nature,FsF-A1-03D,1449
Nature,FsF-R1.1-01M,1032
Nature,FsF-R1.3-02D,1449
Kluwer Academic Publishers,FsF-F3-01M,64
Kluwer Academic Publishers,FsF-A1-03D,64
Kluwer Academic Publishers,FsF-R1.1-01M,64
Kluwer Academic Publishers,FsF-R1.3-02D,64
Springer,FsF-F3-01M,196
Springer,FsF-A1-03D,196
Springer,FsF-R1.1-01M,175
Springer,FsF-R1.3-02D,196
SpringerLink,FsF-F3-01M,274
SpringerLink,FsF-A1-03D,274
SpringerLink,FsF-R1.1-01M,253
SpringerLink,FsF-R1.3-02D,274
SpringerLink,FsF-A1-01M,74
SpringerLink,FsF-I3-01M,1
Nature Publishing Group UK,FsF-F3-01M,923
Nature Publishing Group UK,FsF-A1-03D,923
Nature Publishing Group UK,FsF-R1.1-01M,568
Nature Publishing Group UK,FsF-R1.3-02D,923
Springer Science and Business Media LLC,FsF-F3-01M,1907
Springer Science and Business Media LLC,FsF-A1-03D,1907
Springer Science and Business Media LLC,FsF-R1.1-01M,1072
Springer Science and Business Media LLC,FsF-R1.3-02D,1907
Springer Science and Business Media LLC,FsF-F4-01M,93
Springer Science and Business Media LLC,FsF-A1-01M,93
Springer Science and Business Media LLC,FsF-R1-01MD,93
Oxford University Press,FsF-F3-01M,599
Oxford University Press,FsF-A1-01M,599
Oxford University Press,FsF-A1-03D,599
Oxford University Press,FsF-R1.1-01M,599
Oxford University Press,FsF-R1.3-02D,599
Oxford Academic,FsF-F3-01M,599
Oxford Academic,FsF-A1-01M,599
Oxford Academic,FsF-A1-03D,599
Oxford Academic,FsF-R1.1-01M,599
Oxford Academic,FsF-R1.3-02D,599
OUP Academic,FsF-F3-01M,599
OUP Academic,FsF-A1-01M,599
OUP Academic,FsF-A1-03D,599
OUP Academic,FsF-R1.1-01M,599
OUP Academic,FsF-R1.3-02D,599
Oxford University Press (OUP),FsF-F3-01M,579
Oxford University Press (OUP),FsF-A1-01M,579
Oxford University Press (OUP),FsF-A1-03D,579
Oxford University Press (OUP),FsF-R1.1-01M,579
Oxford University Press (OUP),FsF-R1.3-02D,579
Oxford University Press (OUP),FsF-F4-01M,147
Oxford University Press (OUP),FsF-R1-01MD,147
Elsevier BV,FsF-F3-01M,2798
Elsevier BV,FsF-F4-01M,2798
Elsevier BV,FsF-A1-01M,2798
Elsevier BV,FsF-A1-03D,2798
Elsevier BV,FsF-R1-01MD,2798
Elsevier BV,FsF-R1.1-01M,2798
