metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,23
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,23
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,6
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,6
FsF-I1-01M,SUCCESS: Found structured data  in the data page,6
FsF-I1-01M,INFO: Check if RDF-based typed link included,6
FsF-I1-01M,INFO: NO RDF-based typed link found,6
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,6
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,6
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,6
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,23
FsF-R1.1-01M,WARNING: License information unavailable in metadata,15
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,15
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,15
FsF-A1-01M,INFO: Found CreativeCommons license -:,3
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",3
FsF-A1-01M,WARNING: NO access information is available in metadata,10
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,20
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,10
FsF-A1-01M,WARNING: Unable to determine the access level,10
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",3
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,4
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,4
FsF-F4-01M,WARNING: Metadata is NOT found through -:,4
FsF-F4-01M,INFO: Querying DataCite API for -:,4
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,4
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",4
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',1
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,5
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,4
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,4
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,5
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,2
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,2
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,2
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,2
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,2
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,3
FsF-R1-01MD,INFO: Invalid resource type  specified -:,3
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",3
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,5
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',3
FsF-R1-01MD,WARNING: No resource type given,2
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,2
FsF-I3-01M,INFO: No related resource found in Datacite metadata,1
