publisher,metric,count
Zenodo,FsF-F3-01M,10
Zenodo,FsF-A1-03D,10
Zenodo,FsF-I1-01M,10
Zenodo,FsF-R1.3-02D,10
Cold Spring Harbor Laboratory,FsF-F3-01M,16
Cold Spring Harbor Laboratory,FsF-A1-03D,16
Cold Spring Harbor Laboratory,FsF-R1.1-01M,16
Cold Spring Harbor Laboratory,FsF-R1.3-02D,16
bioRxiv,FsF-F3-01M,4
bioRxiv,FsF-A1-03D,4
bioRxiv,FsF-R1.1-01M,4
bioRxiv,FsF-R1.3-02D,4
F1000 Research Limited,FsF-F3-01M,2
F1000 Research Limited,FsF-A1-01M,2
F1000 Research Limited,FsF-A1-03D,2
F1000 Research Limited,FsF-R1.1-01M,2
F1000 Research Limited,FsF-R1.3-02D,2
Wiley,FsF-F3-01M,2
Wiley,FsF-F4-01M,2
Wiley,FsF-A1-01M,2
Wiley,FsF-A1-03D,2
Wiley,FsF-R1-01MD,2
Wiley,FsF-R1.1-01M,2
Wiley,FsF-R1.3-02D,2
The Company of Biologists,FsF-F3-01M,2
The Company of Biologists,FsF-A1-01M,2
The Company of Biologists,FsF-A1-03D,2
The Company of Biologists,FsF-R1.1-01M,2
The Company of Biologists,FsF-R1.3-02D,2
arXiv.org,FsF-F3-01M,1
arXiv.org,FsF-A1-01M,1
arXiv.org,FsF-A1-03D,1
arXiv.org,FsF-I1-01M,1
arXiv.org,FsF-I3-01M,1
arXiv.org,FsF-R1.3-02D,1
arXiv,FsF-F3-01M,1
arXiv,FsF-A1-01M,1
arXiv,FsF-A1-03D,1
arXiv,FsF-I1-01M,1
arXiv,FsF-I3-01M,1
arXiv,FsF-R1.3-02D,1
Nature Publishing Group US,FsF-F3-01M,2
Nature Publishing Group US,FsF-A1-03D,2
Nature Publishing Group US,FsF-R1.1-01M,1
Nature Publishing Group US,FsF-R1.3-02D,2
Nature Publishing Group,FsF-F3-01M,4
Nature Publishing Group,FsF-A1-03D,4
Nature Publishing Group,FsF-R1.1-01M,2
Nature Publishing Group,FsF-R1.3-02D,4
Springer Nature,FsF-F3-01M,2
Springer Nature,FsF-A1-03D,2
Springer Nature,FsF-R1.1-01M,1
Springer Nature,FsF-R1.3-02D,2
Nature,FsF-F3-01M,2
Nature,FsF-A1-03D,2
Nature,FsF-R1.1-01M,1
Nature,FsF-R1.3-02D,2
TIB Open Publishing,FsF-F3-01M,2
TIB Open Publishing,FsF-A1-03D,2
TIB Open Publishing,FsF-R1.1-01M,2
TIB Open Publishing,FsF-R1.3-02D,2
TIB Open Publishing (Technische Informationsbibliothek (TIB)),FsF-F3-01M,1
TIB Open Publishing (Technische Informationsbibliothek (TIB)),FsF-A1-03D,1
TIB Open Publishing (Technische Informationsbibliothek (TIB)),FsF-R1.1-01M,1
TIB Open Publishing (Technische Informationsbibliothek (TIB)),FsF-R1.3-02D,1
Springer Berlin Heidelberg,FsF-F3-01M,2
Springer Berlin Heidelberg,FsF-A1-03D,2
Springer Berlin Heidelberg,FsF-R1.3-02D,2
Springer,FsF-F3-01M,1
Springer,FsF-A1-03D,1
Springer,FsF-R1.3-02D,1
SpringerLink,FsF-F3-01M,1
SpringerLink,FsF-A1-03D,1
SpringerLink,FsF-R1.3-02D,1
Springer Science and Business Media LLC,FsF-F3-01M,2
Springer Science and Business Media LLC,FsF-A1-03D,2
Springer Science and Business Media LLC,FsF-R1.3-02D,2
F1000 Research Ltd,FsF-F3-01M,2
F1000 Research Ltd,FsF-A1-01M,2
F1000 Research Ltd,FsF-A1-03D,2
F1000 Research Ltd,FsF-R1.1-01M,2
F1000 Research Ltd,FsF-R1.3-02D,2
