metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,9901
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,4649
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,4649
FsF-F4-01M,WARNING: Metadata is NOT found through -:,4649
FsF-F4-01M,INFO: Querying DataCite API for -:,4636
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,4636
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",4649
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',1647
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,7580
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,4578
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,4649
FsF-A1-01M,WARNING: NO access information is available in metadata,7384
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,14768
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,7384
FsF-A1-01M,WARNING: Unable to determine the access level,7384
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,9901
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,3051
FsF-R1-01MD,INFO: Invalid resource type  specified -:,2245
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",2245
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,4454
FsF-R1.1-01M,WARNING: License information unavailable in metadata,9484
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,9484
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,9484
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,2272
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,2272
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,2272
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,2272
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,2272
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,9901
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',3002
FsF-R1-01MD,WARNING: No resource type given,2209
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,2209
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,704
FsF-A1-01M,INFO: Found CreativeCommons license -:,68
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",68
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",71
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,108
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,67
FsF-I1-01M,SUCCESS: Found structured data  in the data page,67
FsF-I1-01M,INFO: Check if RDF-based typed link included,108
FsF-I1-01M,INFO: NO RDF-based typed link found,108
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,108
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,108
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,108
FsF-I2-01M,INFO: Removing default namespaces from 2 vocabulary namespaces found in structured metadata,64
FsF-I2-01M,INFO: Default vocabulary namespace excluded -: [' ',64
FsF-I2-01M,WARNING: NO namespaces of semantic vocabularies found in the metadata,103
FsF-I2-01M,INFO: Skipping namespace lookup in LOD registry list since no namespaces available,103
FsF-I2-01M,WARNING: NO known vocabulary namespace URI is found which is listed in  the LOD registry,103
FsF-F4-01M,ERROR: Mendeley Data API not available or returns errors: HTTPSConnectionPool: Read timed out.,71
FsF-I1-01M,INFO: NO structured data  embedded in the data page,41
FsF-R1.3-01M,INFO: re3data/datacite client id -: None,39
FsF-R1.3-01M,WARNING: Skipped external ressources  checks since landing page could not be resolved,39
FsF-R1.3-01M,WARNING: Unable to determine community standard,39
FsF-F4-01M,ERROR: DataCite API not available or returns errors -:HTTPSConnectionPool: Read timed out.,13
FsF-I3-01M,INFO: No related resource found in Datacite metadata,5
FsF-I1-01M,INFO: JSON-LD  serialization found in the data page - JSON-LD,1
FsF-R1.3-02D,INFO: Data content identifier provided -: [',1
FsF-R1.3-02D,"INFO: No mime type given in metadata, therefore the mime type given in HTTP header is used -: text/html",1
