metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,3444
FsF-A1-01M,WARNING: NO access information is available in metadata,2759
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,5518
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,2759
FsF-A1-01M,WARNING: Unable to determine the access level,2759
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,3444
FsF-R1.1-01M,WARNING: License information unavailable in metadata,3188
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,3188
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,3188
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,3444
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,256
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,1135
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,1852
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,1852
FsF-F4-01M,WARNING: Metadata is NOT found through -:,1852
FsF-F4-01M,INFO: Querying DataCite API for -:,1852
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,1851
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",1851
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',690
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,2515
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,1825
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,1851
FsF-R1-01MD,WARNING: No resource type given,1011
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,1011
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,1844
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',1161
FsF-R1-01MD,INFO: Invalid resource type  specified -:,833
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",833
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,844
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,844
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,844
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,844
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,844
FsF-A1-01M,INFO: Found CreativeCommons license -:,105
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",105
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",95
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,66
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,49
FsF-I1-01M,SUCCESS: Found structured data  in the data page,49
FsF-I1-01M,INFO: Check if RDF-based typed link included,66
FsF-I1-01M,INFO: NO RDF-based typed link found,66
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,66
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,66
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,66
FsF-I3-01M,INFO: No related resource found in Datacite metadata,2
FsF-F4-01M,ERROR: Mendeley Data API not available or returns errors: HTTPSConnectionPool: Read timed out.,26
FsF-I1-01M,INFO: NO structured data  embedded in the data page,17
FsF-I2-01M,WARNING: NO namespaces of semantic vocabularies found in the metadata,15
FsF-I2-01M,INFO: Skipping namespace lookup in LOD registry list since no namespaces available,15
FsF-I2-01M,WARNING: NO known vocabulary namespace URI is found which is listed in  the LOD registry,15
FsF-R1.3-01M,INFO: re3data/datacite client id -: None,15
FsF-R1.3-01M,WARNING: Skipped external ressources  checks since landing page could not be resolved,15
FsF-R1.3-01M,WARNING: Unable to determine community standard,15
FsF-I1-01M,INFO: JSON-LD  serialization found in the data page - JSON-LD,7
FsF-I1-01M,INFO: RDFa serialization found in the data page - RDFa,7
FsF-R1.3-02D,INFO: Data content identifier provided -: [',4
FsF-F4-01M,INFO: Found identifier in DataCite catalogue -:,1
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Google Dataset Search Cache query,1
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Mendeley Data query,1
FsF-F4-01M,SUCCESS: Metadata found through - metadata registry,1
FsF-R1.3-02D,"INFO: No mime type given in metadata, therefore the mime type given in HTTP header is used -: text/html",1
