publisher,metric,count
Public Library of Science,FsF-F3-01M,117
Public Library of Science,FsF-A1-01M,117
Public Library of Science,FsF-A1-03D,117
Public Library of Science,FsF-R1.1-01M,117
Public Library of Science,FsF-R1.3-02D,117
Public Library of Science (PLoS),FsF-F3-01M,162
Public Library of Science (PLoS),FsF-A1-01M,162
Public Library of Science (PLoS),FsF-A1-03D,162
Public Library of Science (PLoS),FsF-R1.1-01M,162
Public Library of Science (PLoS),FsF-R1.3-02D,162
Microbiology Society,FsF-F3-01M,198
Microbiology Society,FsF-A1-01M,198
Microbiology Society,FsF-A1-03D,198
Microbiology Society,FsF-I3-01M,102
Microbiology Society,FsF-R1.1-01M,198
Microbiology Society,FsF-R1.3-02D,198
microbiologyresearch.org,FsF-F3-01M,75
microbiologyresearch.org,FsF-A1-01M,75
microbiologyresearch.org,FsF-A1-03D,75
microbiologyresearch.org,FsF-I3-01M,51
microbiologyresearch.org,FsF-R1.1-01M,75
microbiologyresearch.org,FsF-R1.3-02D,75
Elsevier BV,FsF-F3-01M,752
Elsevier BV,FsF-F4-01M,744
Elsevier BV,FsF-A1-01M,752
Elsevier BV,FsF-A1-03D,752
Elsevier BV,FsF-R1-01MD,752
Elsevier BV,FsF-R1.1-01M,752
Elsevier BV,FsF-R1.3-02D,752
Elsevier BV,FsF-I3-01M,2
Frontiers,FsF-F3-01M,260
Frontiers,FsF-A1-01M,260
Frontiers,FsF-A1-03D,260
Frontiers,FsF-R1.1-01M,260
Frontiers,FsF-R1.3-02D,260
Frontiers,FsF-I3-01M,74
Frontiers Media SA,FsF-F3-01M,186
Frontiers Media SA,FsF-A1-01M,186
Frontiers Media SA,FsF-A1-03D,186
Frontiers Media SA,FsF-R1.1-01M,186
Frontiers Media SA,FsF-R1.3-02D,186
Oxford University Press (OUP),FsF-F3-01M,138
Oxford University Press (OUP),FsF-F4-01M,40
Oxford University Press (OUP),FsF-A1-01M,138
Oxford University Press (OUP),FsF-A1-03D,138
Oxford University Press (OUP),FsF-R1-01MD,40
Oxford University Press (OUP),FsF-R1.1-01M,138
Oxford University Press (OUP),FsF-R1.3-02D,138
Wiley,FsF-F3-01M,276
Wiley,FsF-F4-01M,244
Wiley,FsF-A1-01M,276
Wiley,FsF-A1-03D,276
Wiley,FsF-R1-01MD,244
Wiley,FsF-R1.1-01M,276
Wiley,FsF-R1.3-02D,276
American Chemical Society (ACS),FsF-F3-01M,116
American Chemical Society (ACS),FsF-F4-01M,88
American Chemical Society (ACS),FsF-A1-01M,102
American Chemical Society (ACS),FsF-A1-03D,116
American Chemical Society (ACS),FsF-R1-01MD,102
American Chemical Society (ACS),FsF-R1.1-01M,116
American Chemical Society (ACS),FsF-R1.3-02D,116
American Chemical Society (ACS),FsF-I3-01M,14
Research Square Platform LLC,FsF-F3-01M,32
Research Square Platform LLC,FsF-A1-01M,32
Research Square Platform LLC,FsF-A1-03D,32
Research Square Platform LLC,FsF-I3-01M,32
Research Square Platform LLC,FsF-R1.1-01M,32
Research Square Platform LLC,FsF-R1.3-02D,32
Nature Publishing Group UK,FsF-F3-01M,140
Nature Publishing Group UK,FsF-A1-03D,140
Nature Publishing Group UK,FsF-R1.1-01M,40
Nature Publishing Group UK,FsF-R1.3-02D,140
Nature Publishing Group,FsF-F3-01M,326
Nature Publishing Group,FsF-A1-03D,326
Nature Publishing Group,FsF-R1.1-01M,116
Nature Publishing Group,FsF-R1.3-02D,326
Springer Nature,FsF-F3-01M,163
Springer Nature,FsF-A1-03D,163
Springer Nature,FsF-R1.1-01M,58
Springer Nature,FsF-R1.3-02D,163
Nature,FsF-F3-01M,162
