metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,6469
FsF-A1-01M,WARNING: NO access information is available in metadata,4917
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,9834
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,4917
FsF-A1-01M,WARNING: Unable to determine the access level,4917
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,6469
FsF-R1.1-01M,WARNING: License information unavailable in metadata,6264
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,6264
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,6264
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,6470
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,3307
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,3307
FsF-F4-01M,WARNING: Metadata is NOT found through -:,3307
FsF-F4-01M,INFO: Querying DataCite API for -:,3283
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,3281
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",3305
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',980
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,5546
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,3221
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,3305
FsF-R1-01MD,WARNING: No resource type given,1626
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,1626
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,3253
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',2325
FsF-R1-01MD,INFO: Invalid resource type  specified -:,1628
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",1628
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,2249
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,1430
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,1430
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,1430
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,1430
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,1430
FsF-F4-01M,ERROR: Mendeley Data API not available or returns errors: HTTPSConnectionPool: Read timed out.,84
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,555
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,115
FsF-I1-01M,INFO: NO structured data  embedded in the data page,53
FsF-I1-01M,INFO: Check if RDF-based typed link included,115
FsF-I1-01M,INFO: NO RDF-based typed link found,115
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,115
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,115
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,115
FsF-I2-01M,WARNING: NO namespaces of semantic vocabularies found in the metadata,80
FsF-I2-01M,INFO: Skipping namespace lookup in LOD registry list since no namespaces available,80
FsF-I2-01M,WARNING: NO known vocabulary namespace URI is found which is listed in  the LOD registry,80
FsF-R1.3-01M,INFO: re3data/datacite client id -: None,47
FsF-R1.3-01M,WARNING: Skipped external ressources  checks since landing page could not be resolved,46
FsF-R1.3-01M,WARNING: Unable to determine community standard,47
FsF-F4-01M,ERROR: DataCite API not available or returns errors -:HTTPSConnectionPool: Read timed out.,24
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,62
FsF-I1-01M,SUCCESS: Found structured data  in the data page,62
FsF-I3-01M,INFO: No related resource found in Datacite metadata,12
FsF-A1-01M,INFO: Found CreativeCommons license -:,50
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",50
FsF-I2-01M,INFO: Removing default namespaces from 2 vocabulary namespaces found in structured metadata,33
FsF-I2-01M,INFO: Default vocabulary namespace excluded -: [' ',33
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",64
FsF-F4-01M,INFO: Found identifier in DataCite catalogue -:,2
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Google Dataset Search Cache query,2
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Mendeley Data query,2
FsF-F4-01M,SUCCESS: Metadata found through - metadata registry,2
FsF-R1.3-01M,INFO: Retrieving API and Standards,1
FsF-R1.3-01M,"INFO: No Datacite client id found, therefore skipping re3data metadata retrieval",1
FsF-R1.3-02D,INFO: Data content identifier provided -: [',3
FsF-R1.3-02D,"INFO: No mime type given in metadata, therefore the mime type given in HTTP header is used -: text/html",2
FsF-I1-01M,INFO: JSON-LD  serialization found in the data page - JSON-LD,1
FsF-I1-01M,INFO: RDFa serialization found in the data page - RDFa,1
FsF-R1.3-02D,"INFO: No mime type given in metadata or generic octet-stream type given, therefore guessing  the type of a file based on its filename or URL -:",1
FsF-R1-01MD,INFO: Successfully parsed data object file using TIKA,1
FsF-R1-01MD,INFO: File request status code -: 200,1
FsF-R1-01MD,INFO: Succesfully parsed data file -:,1
FsF-R1-01MD,INFO: NO info about file size available in given metadata for -:,1
FsF-R1-01MD,INFO: NO info about data service endpoint available in given metadata for -:,1
FsF-R1-01MD,INFO: Sucessfully verified content type from downloaded file -:,1
FsF-R1-01MD,"WARNING: NO measured variables found in metadata, skip 'measured_variable' test.",1
