publisher,metric,count
Frontiers,FsF-F3-01M,330
Frontiers,FsF-A1-01M,330
Frontiers,FsF-A1-03D,330
Frontiers,FsF-R1.1-01M,330
Frontiers,FsF-R1.3-02D,330
Frontiers,FsF-I3-01M,196
Frontiers Media SA,FsF-F3-01M,137
Frontiers Media SA,FsF-A1-01M,137
Frontiers Media SA,FsF-A1-03D,137
Frontiers Media SA,FsF-R1.1-01M,137
Frontiers Media SA,FsF-R1.3-02D,137
Frontiers Media SA,FsF-F4-01M,3
Frontiers Media SA,FsF-R1-01MD,3
SAGE Publications,FsF-F3-01M,35
SAGE Publications,FsF-F4-01M,13
SAGE Publications,FsF-A1-01M,15
SAGE Publications,FsF-A1-03D,35
SAGE Publications,FsF-R1-01MD,13
SAGE Publications,FsF-R1.1-01M,31
SAGE Publications,FsF-R1.3-02D,35
Elsevier,FsF-F3-01M,36
Elsevier,FsF-F4-01M,36
Elsevier,FsF-A1-01M,36
Elsevier,FsF-A1-03D,36
Elsevier,FsF-R1-01MD,36
Elsevier,FsF-R1.1-01M,36
Elsevier,FsF-R1.3-02D,36
Springer Nature Singapore,FsF-F3-01M,4
Springer Nature Singapore,FsF-A1-01M,4
Springer Nature Singapore,FsF-A1-03D,4
Springer Nature Singapore,FsF-R1.1-01M,4
Springer Nature Singapore,FsF-R1.3-02D,4
"Springer, Singapore",FsF-F3-01M,4
"Springer, Singapore",FsF-A1-01M,4
"Springer, Singapore",FsF-A1-03D,4
"Springer, Singapore",FsF-R1.1-01M,4
"Springer, Singapore",FsF-R1.3-02D,4
SpringerLink,FsF-F3-01M,1002
SpringerLink,FsF-A1-01M,207
SpringerLink,FsF-A1-03D,1002
SpringerLink,FsF-R1.1-01M,963
SpringerLink,FsF-R1.3-02D,1002
SpringerLink,FsF-I3-01M,3
Elsevier BV,FsF-F3-01M,1806
Elsevier BV,FsF-F4-01M,1782
Elsevier BV,FsF-A1-01M,1806
Elsevier BV,FsF-A1-03D,1806
Elsevier BV,FsF-R1-01MD,1806
Elsevier BV,FsF-R1.1-01M,1806
Elsevier BV,FsF-R1.3-02D,1806
Elsevier BV,FsF-I3-01M,12
Copernicus GmbH,FsF-F3-01M,72
Copernicus GmbH,FsF-F4-01M,72
Copernicus GmbH,FsF-A1-01M,72
Copernicus GmbH,FsF-A1-03D,72
Copernicus GmbH,FsF-R1-01MD,72
Copernicus GmbH,FsF-R1.1-01M,72
Copernicus GmbH,FsF-R1.3-02D,72
Copernicus GmbH,FsF-I3-01M,11
© Georg Thieme Verlag Stuttgart · New York,FsF-F3-01M,4
© Georg Thieme Verlag Stuttgart · New York,FsF-A1-01M,4
© Georg Thieme Verlag Stuttgart · New York,FsF-A1-03D,4
© Georg Thieme Verlag Stuttgart · New York,FsF-R1.1-01M,4
© Georg Thieme Verlag Stuttgart · New York,FsF-R1.3-02D,4
© Georg Thieme Verlag Stuttgart · New York,FsF-I3-01M,2
Georg Thieme Verlag KG,FsF-F3-01M,41
Georg Thieme Verlag KG,FsF-A1-01M,41
Georg Thieme Verlag KG,FsF-A1-03D,41
Georg Thieme Verlag KG,FsF-R1.1-01M,41
Georg Thieme Verlag KG,FsF-R1.3-02D,41
Georg Thieme Verlag KG,FsF-R1-01MD,22
Georg Thieme Verlag KG,FsF-I3-01M,4
