metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,9899
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,4590
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,4590
FsF-F4-01M,WARNING: Metadata is NOT found through -:,4590
FsF-F4-01M,INFO: Querying DataCite API for -:,4527
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,4525
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",4588
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',2114
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,6954
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,4479
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,4588
FsF-A1-01M,WARNING: NO access information is available in metadata,7463
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,14926
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,7463
FsF-A1-01M,WARNING: Unable to determine the access level,7463
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,9899
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,3082
FsF-R1-01MD,INFO: Invalid resource type  specified -:,2241
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",2241
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,4608
FsF-R1.1-01M,WARNING: License information unavailable in metadata,9523
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,9523
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,9523
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,2152
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,2152
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,2151
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,2152
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,2152
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,9899
FsF-R1-01MD,WARNING: No resource type given,2379
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,2379
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',2474
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,891
FsF-F4-01M,ERROR: Mendeley Data API not available or returns errors: HTTPSConnectionPool: Read timed out.,108
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,98
FsF-I1-01M,INFO: NO structured data  embedded in the data page,64
FsF-I1-01M,INFO: Check if RDF-based typed link included,98
FsF-I1-01M,INFO: NO RDF-based typed link found,98
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,98
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,98
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,98
FsF-I2-01M,WARNING: NO namespaces of semantic vocabularies found in the metadata,75
FsF-I2-01M,INFO: Skipping namespace lookup in LOD registry list since no namespaces available,75
FsF-I2-01M,WARNING: NO known vocabulary namespace URI is found which is listed in  the LOD registry,75
FsF-R1.3-01M,INFO: re3data/datacite client id -: None,43
FsF-R1.3-01M,WARNING: Skipped external ressources  checks since landing page could not be resolved,41
FsF-R1.3-01M,WARNING: Unable to determine community standard,43
FsF-R1.3-01M,INFO: Retrieving API and Standards,2
FsF-R1.3-01M,"INFO: No Datacite client id found, therefore skipping re3data metadata retrieval",2
FsF-F4-01M,ERROR: DataCite API not available or returns errors -:HTTPSConnectionPool: Read timed out.,63
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",47
FsF-I1-01M,INFO: JSON-LD  serialization found in the data page - JSON-LD,1
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,34
FsF-I1-01M,SUCCESS: Found structured data  in the data page,34
FsF-I3-01M,INFO: No related resource found in Datacite metadata,11
FsF-A1-01M,INFO: Found CreativeCommons license -:,40
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",40
FsF-I2-01M,INFO: Removing default namespaces from 2 vocabulary namespaces found in structured metadata,32
FsF-I2-01M,INFO: Default vocabulary namespace excluded -: [' ',32
FsF-F4-01M,INFO: Found identifier in DataCite catalogue -:,2
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Google Dataset Search Cache query,2
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Mendeley Data query,2
FsF-F4-01M,SUCCESS: Metadata found through - metadata registry,2
FsF-R1-01MD,INFO: Successfully parsed data object file using TIKA,12
FsF-R1-01MD,INFO: File request status code -: 200,12
FsF-R1-01MD,INFO: Succesfully parsed data file -:,12
FsF-R1-01MD,INFO: NO info about file size available in given metadata for -:,12
FsF-R1-01MD,INFO: NO info about data service endpoint available in given metadata for -:,12
FsF-R1-01MD,INFO: Sucessfully verified content type from downloaded file -:,10
FsF-R1-01MD,"WARNING: NO measured variables found in metadata, skip 'measured_variable' test.",12
FsF-R1-01MD,WARNING: Could not verify content type from downloaded file -:,2
