publisher,metric,count
Wiley,FsF-F3-01M,1139
Wiley,FsF-F4-01M,355
Wiley,FsF-A1-01M,1139
Wiley,FsF-A1-03D,1139
Wiley,FsF-R1-01MD,355
Wiley,FsF-R1.1-01M,1139
Wiley,FsF-R1.3-02D,1139
American Society for Microbiology,FsF-F3-01M,196
American Society for Microbiology,FsF-F4-01M,47
American Society for Microbiology,FsF-A1-01M,69
American Society for Microbiology,FsF-A1-03D,196
American Society for Microbiology,FsF-R1-01MD,47
American Society for Microbiology,FsF-R1.1-01M,196
American Society for Microbiology,FsF-R1.3-02D,196
Elsevier BV,FsF-F3-01M,2134
Elsevier BV,FsF-F4-01M,2090
Elsevier BV,FsF-A1-01M,2132
Elsevier BV,FsF-A1-03D,2134
Elsevier BV,FsF-R1-01MD,2132
Elsevier BV,FsF-R1.1-01M,2132
Elsevier BV,FsF-R1.3-02D,2134
American Chemical Society (ACS),FsF-F3-01M,360
American Chemical Society (ACS),FsF-F4-01M,130
American Chemical Society (ACS),FsF-A1-01M,150
American Chemical Society (ACS),FsF-A1-03D,360
American Chemical Society (ACS),FsF-R1-01MD,130
American Chemical Society (ACS),FsF-R1.1-01M,360
American Chemical Society (ACS),FsF-R1.3-02D,360
The American Phytopathological Society,FsF-F3-01M,9
The American Phytopathological Society,FsF-A1-01M,9
The American Phytopathological Society,FsF-A1-03D,9
The American Phytopathological Society,FsF-R1.1-01M,9
The American Phytopathological Society,FsF-R1.3-02D,9
Molecular Plant-Microbe Interactions,FsF-F3-01M,7
Molecular Plant-Microbe Interactions,FsF-A1-01M,7
Molecular Plant-Microbe Interactions,FsF-A1-03D,7
Molecular Plant-Microbe Interactions,FsF-R1.1-01M,7
Molecular Plant-Microbe Interactions,FsF-R1.3-02D,7
Scientific Societies,FsF-F3-01M,9
Scientific Societies,FsF-A1-01M,9
Scientific Societies,FsF-A1-03D,9
Scientific Societies,FsF-R1.1-01M,9
Scientific Societies,FsF-R1.3-02D,9
Scientific Societies,FsF-F4-01M,1
Scientific Societies,FsF-R1-01MD,1
American Chemical Society,FsF-F3-01M,198
American Chemical Society,FsF-A1-03D,198
American Chemical Society,FsF-I3-01M,83
American Chemical Society,FsF-R1.1-01M,198
American Chemical Society,FsF-R1.3-02D,198
American Chemical Society,FsF-A1-01M,12
ACS Publications,FsF-F3-01M,401
ACS Publications,FsF-A1-03D,401
ACS Publications,FsF-I3-01M,171
ACS Publications,FsF-R1.1-01M,401
ACS Publications,FsF-R1.3-02D,401
ACS Publications,FsF-A1-01M,25
Springer-Verlag,FsF-F3-01M,1159
Springer-Verlag,FsF-A1-03D,1159
Springer-Verlag,FsF-R1.1-01M,1153
Springer-Verlag,FsF-R1.3-02D,1159
Springer-Verlag,FsF-A1-01M,10
Springer,FsF-F3-01M,1009
Springer,FsF-A1-03D,1009
Springer,FsF-R1.1-01M,954
Springer,FsF-R1.3-02D,1009
SpringerLink,FsF-F3-01M,1255
SpringerLink,FsF-A1-03D,1255
SpringerLink,FsF-R1.1-01M,1199
SpringerLink,FsF-R1.3-02D,1255
SpringerLink,FsF-A1-01M,221
SpringerLink,FsF-I3-01M,26
Springer Science and Business Media LLC,FsF-F3-01M,1397
Springer Science and Business Media LLC,FsF-A1-03D,1397
Springer Science and Business Media LLC,FsF-R1.1-01M,1087
Springer Science and Business Media LLC,FsF-R1.3-02D,1397
Springer Science and Business Media LLC,FsF-F4-01M,6
Springer Science and Business Media LLC,FsF-A1-01M,6
Springer Science and Business Media LLC,FsF-R1-01MD,6
Oxford University Press,FsF-F3-01M,401
Oxford University Press,FsF-A1-01M,401
Oxford University Press,FsF-A1-03D,401
Oxford University Press,FsF-R1.1-01M,401
Oxford University Press,FsF-R1.3-02D,401
Oxford University Press,FsF-I1-01M,1
Oxford University Press,FsF-F4-01M,1
Oxford University Press,FsF-I3-01M,1
Oxford University Press,FsF-R1-01MD,1
Oxford Academic,FsF-F3-01M,374
Oxford Academic,FsF-A1-01M,374
Oxford Academic,FsF-A1-03D,374
Oxford Academic,FsF-R1.1-01M,374
Oxford Academic,FsF-R1.3-02D,374
Oxford Academic,FsF-I1-01M,1
OUP Academic,FsF-F3-01M,384
OUP Academic,FsF-A1-01M,384
OUP Academic,FsF-A1-03D,384
OUP Academic,FsF-R1.1-01M,384
OUP Academic,FsF-R1.3-02D,384
OUP Academic,FsF-I1-01M,1
Oxford University Press (OUP),FsF-F3-01M,426
Oxford University Press (OUP),FsF-A1-01M,426
Oxford University Press (OUP),FsF-A1-03D,426
Oxford University Press (OUP),FsF-R1.1-01M,426
Oxford University Press (OUP),FsF-R1.3-02D,426
Oxford University Press (OUP),FsF-F4-01M,25
Oxford University Press (OUP),FsF-R1-01MD,25
Frontiers,FsF-F3-01M,226
Frontiers,FsF-A1-01M,226
Frontiers,FsF-A1-03D,226
Frontiers,FsF-I3-01M,80
Frontiers,FsF-R1.1-01M,226
Frontiers,FsF-R1.3-02D,226
The Royal Society of Chemistry,FsF-F3-01M,174
The Royal Society of Chemistry,FsF-A1-03D,174
The Royal Society of Chemistry,FsF-R1.1-01M,174
The Royal Society of Chemistry,FsF-R1.3-02D,174
Informa UK Limited,FsF-F3-01M,124
Informa UK Limited,FsF-F4-01M,120
Informa UK Limited,FsF-A1-01M,120
Informa UK Limited,FsF-A1-03D,124
Informa UK Limited,FsF-R1-01MD,120
Informa UK Limited,FsF-R1.1-01M,124
Informa UK Limited,FsF-R1.3-02D,124
"John Wiley & Sons, Ltd",FsF-F3-01M,829
"John Wiley & Sons, Ltd",FsF-A1-01M,829
"John Wiley & Sons, Ltd",FsF-A1-03D,829
"John Wiley & Sons, Ltd",FsF-I3-01M,439
"John Wiley & Sons, Ltd",FsF-R1.1-01M,829
"John Wiley & Sons, Ltd",FsF-R1.3-02D,829
"John Wiley & Sons, Ltd",FsF-I1-01M,32
"John Wiley & Sons, Ltd",FsF-I2-01M,32
Wiley Online Library,FsF-F3-01M,440
Wiley Online Library,FsF-A1-01M,440
Wiley Online Library,FsF-A1-03D,440
Wiley Online Library,FsF-I3-01M,196
Wiley Online Library,FsF-R1.1-01M,440
