metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,9939
FsF-A1-01M,WARNING: NO access information is available in metadata,7359
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,14718
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,7359
FsF-A1-01M,WARNING: Unable to determine the access level,7359
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,9939
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,931
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,3234
FsF-R1.1-01M,WARNING: License information unavailable in metadata,9572
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,9572
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,9572
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,9939
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,4715
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,4715
FsF-F4-01M,WARNING: Metadata is NOT found through -:,4715
FsF-F4-01M,INFO: Querying DataCite API for -:,4710
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,4709
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",4715
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',1824
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,7508
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,4617
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,4715
FsF-R1-01MD,WARNING: No resource type given,2352
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,2352
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,4558
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',2891
FsF-R1-01MD,INFO: Invalid resource type  specified -:,2206
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",2206
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,2231
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,2231
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,2229
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,2231
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,2231
FsF-A1-01M,INFO: Found CreativeCommons license -:,51
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",51
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",55
FsF-F4-01M,ERROR: Mendeley Data API not available or returns errors: HTTPSConnectionPool: Read timed out.,98
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,105
FsF-I1-01M,INFO: NO structured data  embedded in the data page,53
FsF-I1-01M,INFO: Check if RDF-based typed link included,105
FsF-I1-01M,INFO: NO RDF-based typed link found,105
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,105
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,105
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,105
FsF-I2-01M,WARNING: NO namespaces of semantic vocabularies found in the metadata,103
FsF-I2-01M,INFO: Skipping namespace lookup in LOD registry list since no namespaces available,103
FsF-I2-01M,WARNING: NO known vocabulary namespace URI is found which is listed in  the LOD registry,103
FsF-R1.3-01M,INFO: re3data/datacite client id -: None,48
FsF-R1.3-01M,WARNING: Skipped external ressources  checks since landing page could not be resolved,47
FsF-R1.3-01M,WARNING: Unable to determine community standard,48
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,52
FsF-I1-01M,SUCCESS: Found structured data  in the data page,52
FsF-I2-01M,INFO: Removing default namespaces from 2 vocabulary namespaces found in structured metadata,52
FsF-I2-01M,INFO: Default vocabulary namespace excluded -: [' ',52
FsF-I2-01M,INFO: Removing default namespaces from 1 vocabulary namespaces found in structured metadata,3
FsF-I2-01M,INFO: Default vocabulary namespace excluded -: [',3
FsF-F4-01M,ERROR: DataCite API not available or returns errors -:HTTPSConnectionPool: Read timed out.,5
FsF-R1.3-01M,INFO: Retrieving API and Standards,1
FsF-R1.3-01M,"INFO: No Datacite client id found, therefore skipping re3data metadata retrieval",1
FsF-F4-01M,ERROR: DataCite API not available -:503,1
