publisher,metric,count
"John Wiley & Sons, Ltd",FsF-F3-01M,1017
"John Wiley & Sons, Ltd",FsF-A1-01M,1017
"John Wiley & Sons, Ltd",FsF-A1-03D,1017
"John Wiley & Sons, Ltd",FsF-I3-01M,529
"John Wiley & Sons, Ltd",FsF-R1.1-01M,1017
"John Wiley & Sons, Ltd",FsF-R1.3-02D,1017
"John Wiley & Sons, Ltd",FsF-I1-01M,52
"John Wiley & Sons, Ltd",FsF-I2-01M,52
Wiley Online Library,FsF-F3-01M,685
Wiley Online Library,FsF-A1-01M,685
Wiley Online Library,FsF-A1-03D,685
Wiley Online Library,FsF-I3-01M,341
Wiley Online Library,FsF-R1.1-01M,685
Wiley Online Library,FsF-R1.3-02D,685
Wiley Online Library,FsF-I1-01M,26
Wiley Online Library,FsF-I2-01M,26
BMJ,FsF-F3-01M,30
BMJ,FsF-F4-01M,8
BMJ,FsF-A1-01M,8
BMJ,FsF-A1-03D,30
BMJ,FsF-R1-01MD,8
BMJ,FsF-R1.1-01M,30
BMJ,FsF-R1.3-02D,30
Chemistry Europe,FsF-F3-01M,84
Chemistry Europe,FsF-A1-01M,84
Chemistry Europe,FsF-A1-03D,84
Chemistry Europe,FsF-I3-01M,49
Chemistry Europe,FsF-R1.1-01M,84
Chemistry Europe,FsF-R1.3-02D,84
Chemistry Europe,FsF-I1-01M,4
Chemistry Europe,FsF-I2-01M,4
American Society of Hematology,FsF-F3-01M,169
American Society of Hematology,FsF-A1-01M,169
American Society of Hematology,FsF-A1-03D,169
American Society of Hematology,FsF-R1.1-01M,169
American Society of Hematology,FsF-R1.3-02D,169
American Society of Hematology,FsF-F4-01M,56
American Society of Hematology,FsF-R1-01MD,56
National Academy of Sciences,FsF-F3-01M,34
National Academy of Sciences,FsF-A1-01M,22
National Academy of Sciences,FsF-A1-03D,34
National Academy of Sciences,FsF-R1.1-01M,34
National Academy of Sciences,FsF-R1.3-02D,34
Proceedings of the National Academy of Sciences,FsF-F3-01M,76
Proceedings of the National Academy of Sciences,FsF-A1-01M,55
Proceedings of the National Academy of Sciences,FsF-A1-03D,76
Proceedings of the National Academy of Sciences,FsF-R1.1-01M,76
Proceedings of the National Academy of Sciences,FsF-R1.3-02D,76
Proceedings of the National Academy of Sciences,FsF-F4-01M,11
Proceedings of the National Academy of Sciences,FsF-R1-01MD,11
PNAS,FsF-F3-01M,43
PNAS,FsF-A1-01M,28
PNAS,FsF-A1-03D,43
PNAS,FsF-R1.1-01M,43
PNAS,FsF-R1.3-02D,43
Elsevier BV,FsF-F3-01M,2561
Elsevier BV,FsF-F4-01M,2553
Elsevier BV,FsF-A1-01M,2561
Elsevier BV,FsF-A1-03D,2561
Elsevier BV,FsF-R1-01MD,2557
Elsevier BV,FsF-R1.1-01M,2561
Elsevier BV,FsF-R1.3-02D,2561
Nature Publishing Group UK,FsF-F3-01M,423
Nature Publishing Group UK,FsF-A1-03D,423
Nature Publishing Group UK,FsF-R1.1-01M,279
Nature Publishing Group UK,FsF-R1.3-02D,423
Nature Publishing Group,FsF-F3-01M,1082
Nature Publishing Group,FsF-A1-03D,1082
Nature Publishing Group,FsF-R1.1-01M,778
Nature Publishing Group,FsF-R1.3-02D,1082
Springer Nature,FsF-F3-01M,541
Springer Nature,FsF-A1-03D,541
Springer Nature,FsF-R1.1-01M,389
Springer Nature,FsF-R1.3-02D,541
Nature,FsF-F3-01M,540
Nature,FsF-A1-03D,540
Nature,FsF-R1.1-01M,388
Nature,FsF-R1.3-02D,540
Springer Science and Business Media LLC,FsF-F3-01M,1427
Springer Science and Business Media LLC,FsF-A1-03D,1427
Springer Science and Business Media LLC,FsF-R1.1-01M,1123
Springer Science and Business Media LLC,FsF-R1.3-02D,1427
Springer Science and Business Media LLC,FsF-F4-01M,12
Springer Science and Business Media LLC,FsF-A1-01M,12
Springer Science and Business Media LLC,FsF-R1-01MD,12
