metric,explanation,count
FsF-F3-01M,WARNING: Valid data  identifier missing.,9826
FsF-A1-03D,WARNING: Skipping protocol test for data since NO content  identifier is given in metadata,9826
FsF-R1.1-01M,WARNING: License information unavailable in metadata,9501
FsF-R1.1-01M,INFO: Will consider all SPDX licenses as community specific licenses for FsF-R1.1-01M,9501
FsF-R1.1-01M,WARNING: Skipping SPDX and community license verification since license information unavailable in metadata,9501
FsF-R1.3-02D,WARNING: Could not perform file format checks as data content identifier unavailable/inaccesible,9828
FsF-A1-01M,WARNING: NO access information is available in metadata,7588
FsF-A1-01M,INFO: Skipping standard terms test since NO access information is available in metadata,15176
FsF-A1-01M,INFO: Skipping machine readablility test since NO access information is available in metadata,7588
FsF-A1-01M,WARNING: Unable to determine the access level,7588
FsF-F4-01M,INFO: Will exclusively consider community specific metadata standards for FsF-F4-01M-1 which are specified in metrics -:,4436
FsF-F4-01M,INFO: Will exclusively consider community specific metadata offering methods for FsF-F4-01M-1 which are specified in metrics -:,4436
FsF-F4-01M,WARNING: Metadata is NOT found through -:,4436
FsF-F4-01M,INFO: Querying DataCite API for -:,4355
FsF-F4-01M,INFO: Identifier not listed in DataCite catalogue -:,4354
FsF-F4-01M,"WARNING: Google Search Cache DB does not exist, see F-UJI installation instructions",4435
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[' ',2717
FsF-F4-01M,INFO: Querying Mendeley Data API for -:,7033
FsF-F4-01M,INFO: Identifier not listed in Mendeley Data catalogue -:,4316
FsF-F4-01M,WARNING: Metadata is NOT found through registries considered by the assessment service  -:,4435
FsF-R1-01MD,WARNING: No resource type given,2342
FsF-R1-01MD,ERROR: The evaluated resource does not identify itself as a “dataset” so F-UJI may not be the right tool for this type of resource,2342
FsF-R1-01MD,WARNING: NO data object content available/accessible to perform file descriptors  tests,4481
FsF-F4-01M,INFO: Identifier not listed in Google Dataset Search cache -:[',1718
FsF-I3-01M,WARNING: Could not identify qualified related resources in metadata,3080
FsF-R1.2-01M,INFO: Check if provenance information is available in descriptive metadata,2029
FsF-R1.2-01M,INFO: Check if provenance information is available in metadata about related resources,2029
FsF-R1.2-01M,WARNING: No provenance information found in metadata about related resources,2029
FsF-R1.2-01M,INFO: Check if provenance specific namespaces are listed in metadata,2029
FsF-R1.2-01M,WARNING: Formal provenance metadata is unavailable,2029
FsF-R1-01MD,INFO: Invalid resource type  specified -:,2140
FsF-R1-01MD,"ERROR: The evaluated resource does not identify itself as a “dataset” but as , so F-UJI may not be the right tool for this type of resource",2140
FsF-I3-01M,INFO: No related resource found in Dublin Core metadata,945
FsF-F4-01M,ERROR: Mendeley Data API not available or returns errors: HTTPSConnectionPool: Read timed out.,119
FsF-F4-01M,ERROR: DataCite API not available or returns errors -:HTTPSConnectionPool: Read timed out.,81
FsF-A1-01M,INFO: Found CreativeCommons license -:,161
FsF-A1-01M,"WARNING: Access condition looks like license, therefore the following is ignored -:",161
FsF-R1.1-01M,"INFO: License expressed as access condition , therefore moved from FsF-A1-01M -:",185
FsF-I1-01M,INFO: Check of structured data  embedded in the data page,132
FsF-I1-01M,INFO: RDFa like  serialization found in the data page - RDFa,73
FsF-I1-01M,SUCCESS: Found structured data  in the data page,74
FsF-I1-01M,INFO: Check if RDF-based typed link included,132
FsF-I1-01M,INFO: NO RDF-based typed link found,132
FsF-I1-01M,INFO: Check if RDF metadata available through content negotiation,132
FsF-I1-01M,INFO: NO RDF metadata available through content negotiation,132
FsF-I1-01M,INFO: NO SPARQL endpoint found through re3data based on the object URI provided,132
FsF-I2-01M,INFO: Removing default namespaces from 2 vocabulary namespaces found in structured metadata,61
FsF-I2-01M,INFO: Default vocabulary namespace excluded -: [' ',61
FsF-I2-01M,WARNING: NO namespaces of semantic vocabularies found in the metadata,110
FsF-I2-01M,INFO: Skipping namespace lookup in LOD registry list since no namespaces available,110
FsF-I2-01M,WARNING: NO known vocabulary namespace URI is found which is listed in  the LOD registry,110
FsF-I3-01M,INFO: No related resource found in Datacite metadata,10
FsF-I1-01M,INFO: NO structured data  embedded in the data page,58
FsF-R1.3-01M,INFO: re3data/datacite client id -: None,49
FsF-R1.3-01M,WARNING: Skipped external ressources  checks since landing page could not be resolved,46
FsF-R1.3-01M,WARNING: Unable to determine community standard,49
FsF-F4-01M,INFO: Found identifier in DataCite catalogue -:,1
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Google Dataset Search Cache query,1
FsF-F4-01M,INFO: Dataset already found in registry therefore skipping Mendeley Data query,1
FsF-F4-01M,SUCCESS: Metadata found through - metadata registry,1
FsF-I1-01M,INFO: JSON-LD  serialization found in the data page - JSON-LD,6
FsF-A1-03D,INFO: No debug messages received,2
FsF-R1.3-02D,WARNING: Content identifier inaccessible -:  HTTPError code 404,4
FsF-R1.3-02D,INFO: Data content identifier provided -:,2
FsF-R1.3-02D,"INFO: No mime type given in metadata or generic octet-stream type given, therefore guessing  the type of a file based on its filename or URL -: Nac76802bdeae45d2b8f602fd1f6ea6e5",1
FsF-R1.3-02D,"INFO: No mime type given in metadata or generic octet-stream type given, therefore guessing  the type of a file based on its filename or URL -: N883425cf202a4b84a87e4a8fb1c151a6",1
FsF-R1.3-01M,INFO: Retrieving API and Standards,3
FsF-R1.3-01M,"INFO: No Datacite client id found, therefore skipping re3data metadata retrieval",3
FsF-R1-01MD,INFO: Successfully parsed data object file using TIKA,1
FsF-R1-01MD,INFO: File request status code -: 200,1
FsF-R1-01MD,INFO: Succesfully parsed data file -:,1
FsF-R1-01MD,INFO: NO info about file size available in given metadata for -:,1
FsF-R1-01MD,INFO: NO info about data service endpoint available in given metadata for -:,1
FsF-R1-01MD,INFO: Sucessfully verified content type from downloaded file -:,1
FsF-R1-01MD,"WARNING: NO measured variables found in metadata, skip 'measured_variable' test.",1
FsF-R1.3-02D,"INFO: No mime type given in metadata or generic octet-stream type given, therefore guessing  the type of a file based on its filename or URL -: Nd23a3463d50241ac8b7be36061b23c48",1
FsF-R1.3-02D,"INFO: No mime type given in metadata or generic octet-stream type given, therefore guessing  the type of a file based on its filename or URL -: Nca03f1204dae438388e91d3ba122f5fa",1
